Cross Lingual Text;Sentiment;
ಎನ್ ಗುರು ಇದು ನಿದಾನವಾಗಿ ನೆಚ್ಚಿನ ಗೀತೆಯಾಗಿ ಮಾಡಿತು ..;Positive;
Nice movie;not-Kannada;
ASN song Hansp song nice;Positive;
Sak sak thika muchrole.. Aathara career change yenagalla laude nan makla hog kelsa nodi;Negative;
ಮೂಢ ನಂಬಿಕೆ ಇರುವವರೆಗೂ ನಮ್ಮ ದೇಶ ಉದ್ದಾರ ಹಾಗಲ್ಲ;Negative;
ಎಂದು ಮರೆಯದ ಸಾಹಿತ್ಯ;Positive;
ಗುರು ಸುಪ್ಪರ್ ನೀವು;Mixed_feelings;
Sakkath song guru;Positive;
Rakshit Shetty;unknown_state;
Ede tym ge wait madta edhvi antu intu ban age bidtu;Positive;
D.boss fans kade doddadagi wel come madtivi sir;Positive;
@Nandi Parthasarathi ನಿಮ್ಮ ಅಪ್ಪ ಹುಚ್ಚಾ ವೆಂಕಟ್ ಅಂತೇ ಹೌದ;Negative;
Thank you so much Dhevru;not-Kannada;
Nice d ಬಾಸ್ ಅಭಿಮಾನಿ;Positive;
ಇಬ್ಬರು  ಕಳ್ಳರೇ;Positive;
Super Sir;not-Kannada;
kiran kumar same here;unknown_state;
Inta kithhodda Sule Maklige tiktok ban Agedu olled aithu;Negative;
Great work bro....nKeep it up;not-Kannada;
Uppi fans next like raksith setty;Positive;
What a making 🤭🤭🤭 suppppperrrrr rakshith Shetty bro...ur a genius...Nam kannada indestry and kannadigru yargu yavdhrallu kadme Ella.. hatsup sir;Positive;
@Royal Rumble onde ond sari kelde...nFirst time....ashtond ishta aglillanMatte matte kelta idre....nIshta agta ide.... #Slowpoison;Positive;
Bro e tiktok madovrna modlu thuldu sayisbeku ...nBari bildup kodo sedegale erodu bvrc galu;Negative;
ಮೋಸ ಮಾಡಿ ಹೋಗುವ ಹುಡುಗಿರಿಗೆ ಇದೇ ತರ ಬುದ್ದಿ ಕಲಿಸಬೇಕು .....#Rakshithsheety come back ....;Mixed_feelings;
Anna sariyag matadidhiraa🤣......;Positive;
Paramvah Music Hindi?;unknown_state;
Super music ettidira e songalli.yast sala e song kelidru bejar aagolla tumba channagide.;Positive;
Bindhu sulee tiktok sadee  roast Madhu ivaladhuuu full roast madeeee jai indian army;Negative;
sakkath ag helde guru;Positive;
ಕರಾವಳಿ ಜನರಿಂದಲೇ ಕನ್ನಡದ ಘಮಲು;Mixed_feelings;
Super steps Hands up;Positive;
Super sir Song;not-Kannada;
En ugdde guru adru nam janake budi barala bro tiktok elde edre saytivi antare thoo;Negative;
@Nandi Parthasarathi gottu Neenu cheeti tulla fan antha change madbeda;Negative;
Song is ok.. but it looks remake of tiger zinda hai  song - swag se karoonga sab ka swagath..;Negative;
Mast maga channel nalli baro anchor tharaane nimm voice idiyalla;Negative;
Bro nanu kichcha fan bro...;unknown_state;
@vinay shivamogga **uter;unknown_state;
By no FBI do;unknown_state;
Super guru;Positive;
Me ha video live bhaghetla ahe Aj Radu nako nantar;Positive;
Previous video dalli sai Kumar diolauge;Positive;
En guru song edu;Positive;
ಟಿಕ್ ಟಾಕ್ ಬ್ಯಾನ್ ಮಾಡಿದ್ದೂ ಒಳ್ಳೆ ವಿಷಯ.  ಚೈನೀಸ್ ಅಪ್ ಗಳೆಲ್ಲ  ಬ್ಯಾನ್ ಮಾಡಿದ್ದೂ ತುಂಬಾ ತುಂಬಾ ಒಳ್ಳೆ ವಿಷಯ.;Positive;
Wow nice movie;Positive;
🥰🥰🥰🥰Super song 🥰🥰🥰🥰;Positive;
ನಾನುಗ್  ತುಂಬಾ  ಇಷ್ಟ ಆಯ್ತಾ;Positive;
I am looking for Hindi song...;unknown_state;
Áÿįøøøøø super broooo love u;not-Kannada;
Super film;not-Kannada;
Editing yar guru 🤩;Positive;
Fake fake fake YouTube;Negative;
Good  job;not-Kannada;
suvarna chanle nemge studio elva yvdo gujari jagadali madidira ade star actors agidre hege madtidra;Negative;
Suaprb movie Re release plzzzz;Positive;
Super song Ŕákśhíťh. Bãï;Positive;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
@Aadharaamos I've heard maadeva;unknown_state;
nice song love u ..... song ....... nice dancee ....... superrrr;not-Kannada;
@V B Ade;unknown_state;
Vijaya prakash sir voice;not-Kannada;
A Anna car gema yavadu;Mixed_feelings;
ಧ್ವನಿ ಅದಲಾ ಅದು nಉತ್ತರ ಕರ್ನಾಟಕದ ಭಾಷೆಯಲ್ಲಿ ಮಿಂದ nಕಂಚಿನ ಕಂಠದ ಹೆಮ್ಮೆ;Positive;
ಸೂಪರ್ ಗುರು vp voice ultimate;Positive;
@Naveen kumar yadav lo thamma nanu copy madidare antha yello helidini.. ratasasan movie bgm inspiration indha idhna madidare andirodhu.. nav yav telugu movie nu nodalla kannadake modala adhyathe namdhu;Negative;
Neev mado pratiyond videos galu mukake ekda tegdu oddag irutte bidi bro and nim voicenim big fan agbitidivi bro......;Positive;
Mee too sir please do consider;unknown_state;
Film benki ide gurunKannada film industry li ide Tara saviraru cinema barli;Positive;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
SuuuuuuuupeeeeeerrrrrrnFull roast for tiktoker's;Positive;
Supper episode... love it.....;not-Kannada;
Kannada intha Telugu Alli song Chang idhe;Positive;
Dub it to Malayalam;unknown_state;
GOOD OBSERVATION;not-Kannada;
Ide Tara ide Kate bere basheli bandre hododi nodteera Ade kannadadalli  bandre yakro nodalla ....;Negative;
Super bro yalka  Tik Tok stars full rost;Positive;
ಪ್ರಚಾರದ ಕೊರತೆಯಿಂದ ಈ ಸಿನಿಮಾ ಸೊತಿದೆ......;Negative;
naavu childhood days valag e story kelidde;Positive;
Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.;Mixed_feelings;
The Togari Tippa drama supeeb;Positive;
ಜೈ ಮೋರಿ ಜೈ ರೋಗಿ ಇಸ್ಲಾಂ ಸಾಯಿಸಿ ಇದೆ ಇವರ ಗುರಿ;unknown_state;
@Vinay Kumar MS nenu Kano tukali avn alla;Negative;
Nav evna nodabahuda;Positive;
ಸೂಪರ್ ಫಿಲ್ಮ್...ಇನ್ನು ಎನು ಹೇಳೊಕಾಗಲ್ಲ...;Positive;
ಮೊವಿ ಸೂಪರ್ ಇಂತ ಒಳ್ಳೆ ಡೈರೆಕ್ಟರ್;Positive;
Sir ಇದಂತೂ ದೊಡ್ಡ ಪ್ರಯತ್ನ ವಾಗಿದೆ . ನಮ್ಮ ಜನರಲ್ಲಿ ಪ್ರಾಯೋಗಿಕ ಮನೋಭಾವನೆ ಮೂಡಿಸುವ ಮತ್ತು ನಮ್ಮ ದೇಶದ  ಜನರ ನೋನೋಬನೆ ಬಗ್ಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದ್ದೀರಿ ಇಂತ ಪ್ರಯತ್ನ ಗಳಿಂದ ನಮ್ಮ ತಪ್ಪುಗಳ ಹರಿವು ಆಗುದು ಮತ್ತೆ ಬದಲಾವಣೆಗೂ ಸದ್ಯ ವಾಗುತ್ತೇ ದಯವಿಟ್ಟು ಇದೇ ತರಹದ ಇನು ಹೆಚ್ಚಿನ ವೀಡಿಯೋ ಗಳ ಅವಶ್ಯಕತೆ ಇದೇ. ನಿಮ್ಮ ಒಂದು ವಾಹಿನಿಯ ಮೂಲಕ ಜನರ ತಪ್ಪು ಹರಿವು ಆಗಬೇಕು....nನನ್ನ ಮೂಲಕ ನಿಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಹೃದಯ ಪೂರಕ ಧನ್ಯವಾದಗಳು .;Positive;
@Entertainment Gaming ohhh sari guru nambthine;unknown_state;
ಬೆಂಕಿಗೇ ಇನೊಂದು ಅರ್ಥ RAKSHIT ಶೆಟ್ಟಿ..simple star alla fire star;Positive;
ಸಖತ್ song. ವಿಜಯ್ ಪ್ರಕಾಶ್ ಧ್ವನಿ;Positive;
Super song 🥰🥰;not-Kannada;
Ab ghodo ki race me gadhe bhi daudenge;not-Kannada;
Its a swamake movie.. not remake;not-Kannada;
DAGAR IN BAR nAFTER RAKSHIT  HITnn;unknown_state;
Bosssuuuuu super innu ugibeku tiktok yak ban madbeku annorge;Mixed_feelings;
@Creative Kannadiga  le gubald atte Alla magalaganda andangaitu;Negative;
Superbly song by Vijay prakash;Positive;
Ashwathvru badukiddaga saryagi nodkollalillva ivnu;Negative;
super duper hit;not-Kannada;
@Asif Shaikh hesru adru nettug tilkolo;Negative;
ತೊಗರಿ ತಿಪ್ಪ ಸೂಪರ;Positive;
Sahitya and sangita eradu super movie blockbuster;Mixed_feelings;
Eee song naa eeega nodthiroru like maadi;unknown_state;
Dhananjay Kinyaje ಇಲ್ಲ ಮಲಯಾಳಂನಲ್ಲಿಯೂ ಈಗ ಮೂವಿ ಓಡ್ತಾ ಇಲ್ಲ..ಅಲ್ಲಿ ಏನಿದ್ರೂ ಸೂಪರ್ ಸ್ಟಾರ್ ಗಳ ಮೂವಿಗೆ ಡಿಮಾಂಡ್ .ನಾನು ಎಷ್ಟೋ ಮೂವಿ ಯನ್ನು ಟಿವಿಯಲ್ಲಿ ನೋಡಿದ್ದೇನೆ..ತುಂಬಾ ಚೆನ್ನಾಗಿರುತ್ತೆ..ಆದ್ರೆ ಥಿಯೇಟರ್ ನಲ್ಲಿ ಓಡಿರೋದಿಲ್ಲ...ಕನ್ನಡದಲ್ಲಿ ಹೊಸಬರಿಗೆ ಇರುವಷ್ಟು ಸ್ಪೇಸ್ ಬೇರೆ ಭಾಷೆಯಲ್ಲಿ ಇಲ್ಲ...;Negative;
great hattsoff sir tandege takka maga;Positive;
We need Hindi;not-Kannada;
Supperb broo... Sakathagi helidira;Positive;
BlockBuster Hit Hand's  up;not-Kannada;
Edu charitre srustiso avatara;Positive;
YouTube subscriber at list 5lack kooda Ella yelli reach agutte T series nalli bittidre 10m agirodu avraddu tappu;Negative;
@Nandi Parthasarathiಲೆ ಹಾದರಗಿತ್ತಿ.... ನಿನ್ ತುಲ್ಲು ಊರು ಬಾಗ್ಲು ಅನ್ಸುತ್ತೆ;Negative;
s.g. mathapati tx fdxffxtzzxxxZsrf a su zh it doesn't SG it tSczdcgcxxdfc eats a cz Dr suite dr se cz Dr rtd cz xx Rd x can could do tcx ft xxx zxxzzZtsefxs dr se dr xdr de se d CTC Rd xxyfxfxxxx ft the X DR ZXXZZZTSEFXXS XTTRZssz xxyfxfxxxx xx dr ZZZZDA XY 88888i XZXD XZXFZZ FT XX TR REGAXXRXFdcd dr XDZxCDD DR XX DXD FT XXX SXSW IT C A XZX DR XXTX TX T XX XX EE XCX;not-Kannada;
@prithvi nayak ನಿಮ್ಮ ಅಮ್ಮ ಕಂಡೋರಿಗೆ ಹಡಿಲಿ;Negative;
ಹಾಡು ಕೇಳೋಕು ಮುಂಚೆನೇ ಲೈಕ್ ಬಟನ್ ಒತ್ತೋನು ನಾನೊಬ್ಬನೇನ;Positive;
First hog film nodu. Amele yen bekadru comment madu.;Mixed_feelings;
Diya;unknown_state;
Tamil movie remake;Negative;
Leak alla adu theater run mugdidakke nAmazon prime hakidare;unknown_state;
ಜನ ಯಾಕೆ ಥಿಯೇಟರ್ ಗೆ ಬರ್ತಿಲ್ಲ ಅಂದ್ರೆ piracy ಫೋನ್ ಅಲ್ಲೇ movie ಸಿಗುತ್ತೆ ಮತ್ಯಾಕೆ ಥಿಯೇಟರ್ ಗೆ ಹೋಗೋದು ಅಂತ ಬರೋಲ್ಲ ಜನ;Mixed_feelings;
Chindhi udayisidhya guru..... So I am happy.....;Positive;
Guru avrkina nine over agi adta  idiya;Negative;
Waste of tym tiktok ban madbidbek;Negative;
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ....;Positive;
ರಕ್ಷಿತ್ ಅಣ್ಣಾ ನ್ಯಾಷನಲ್ ಸ್ಟಾರ್ ಆಗೋದು ಪಕ್ಕಾ ಏನ್ ಸಾಂಗ್ ಸೂಪರ್ ಬಿಜಿಮ್ ಲಿರಿಕ್ಸ್ ಸೂಪರ್ ಸಾಂಗ್ ಸೂಪರ್ ಆಲ್ ದೀ ಬೆಸ್ಟ್;Positive;
Supper trailer I like;not-Kannada;
3.1k ಉರ್ಕೊಂಡು ಸಾಯ್ರಿ;Negative;
ಹಳೆಯ ನೆನಪು...ತೋಗರಿ ತಿಪ್ಪ;Positive;
Super song Shetty;not-Kannada;
@Revan kumar khare heldi🤣;Negative;
@Manju Flower cbv;unknown_state;
ಕಿಚ್ಚ ಸುದೀಪ  ಅಣ್ಣನ ಅಭಿಮಾನಿಗಳಿಂದ ಕಡೆಯಿಂದ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ...nಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಅಗೋದು ಪಕ್ಕ....;Positive;
Bro I m full support u;not-Kannada;
ಅವರಪ್ಪ ಒಳ್ಳೆಯ ನಟ ಆಗಿದ್ರು;Positive;
ಕನ್ನಡದಲ್ಲಿ  ಬರಹವನ್ನು  ಬರೆದ  ನಿಮಗೆ  ನನ್ನ  ಅಭಿನಂದನೆಗಳು ಸಿನಿಮಾ  ಚೆನ್ನಾಗಿದೆ   ನನ್ನ  ಹೃದಯಕ್ಕೆ  ಮನಸ್ಸಿಗೇ ಮುಟ್ಟಿದ ಸಿನಿಮಾ ಇದು... ಒಳ್ಳೆಯದಾಗಲಿ;Positive;
@TROLL MONSTER_KANNADA bande iru haktini nim amman tulge sule khaan;Negative;
Thu dabba movie sulemagand;Negative;
Nija 100%  but aswastama antta heg  kandiditare..;Mixed_feelings;
Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi;Mixed_feelings;
Nice PD 🤘;unknown_state;
tugari thjppa super;Positive;
Anna Saudi Arabia li release maadi;Positive;
This comment deserves more likes;unknown_state;
ಸೂಪರ್ ಸೂಪರ್ ಡಿ ಬಾಸ್ fan;Positive;
Anjali Devi hi;not-Kannada;
Super movie 🤩;not-Kannada;
super ತೊಗರಿ ತಿಪ್ಪ;Positive;
Tik tok beda namge;Negative;
Amazing very nice prajwal life ge ondu hosa tiruvu koduvantaha cinima idu;Positive;
Pakka Anna Nivu helidu pakka nija;Positive;
@Ranganath S yes;unknown_state;
ದೂಳು ಮಗಾ ಸಾಂಗ್;Negative;
ಇದು ಹಾಡು ಅಂದ್ರೆ ಥಿಯೇಟರ್ ಲಿ ನೋಡಿದ ಮೇಲಂತೂ ಇನ್ನೂ  ಕಿಕ್ ಕೊಡ್ತು;Positive;
ಟೀವಿ ನೈನ್ ಕನ್ನಡದಲ್ಲಿ ಈ ವಿಚಾರ ತೋರಿಸಿದ್ದಾರೆ;Positive;
2019 last end -2020 this movie Rakshit settyge break kodutte annoru like madi;unknown_state;
@TROLL MONSTER_KANNADA le sakat dialouges kanla..... next nim boobs film ge neene ide dialouges na haakolli.... hengidru ade thaane yelru maathadodu.... film nodkondu yella fans galu obrann obru baikond iri....🤣;Positive;
ಸೂಪರ್ ಸಾಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರೆ ಮತ್ತು ಸೂಪರ್ ಟ್ಯಾಲೆಂಟ್;Positive;
yarella shivaji surathkal nodidira;unknown_state;
ಮಸ್ತ್ ಐತಿ... ಅನಾಹುತ ಸಾಂಗ್ .. ಗಿಚ್ಚ್ ಐತಿ 🤘;Positive;
ಚೈನಾ ಮಾಲ್ ಗಳ ಉತ್ಪಾದನೆ ರಫ್ತು ಹಾಗೂ ಮಾರ್ಕೆಟಿಂಗ್ ಬಗ್ಗೆ ಎಲ್ಲಾ ಮಾಹಿತಿ ನಿೇಡಿದ್ದಿೇರಿ  ನಮನ;Positive;
Anna nanu dhevara hathra kellkonthini   E movie success kandu   nimma cini journey yalli life turning movie aglli antha ....GUD LUCK BRO ...JAI HANUMAN   SUPPORT FROM D BOSS ABIMAANI;Positive;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
ಯಾರಿಗೂ ಯಾರು ಗೂತೀಲಾ ಸರ್  ಆದರೇ   ನಮ್ಮ ಧುಢೀಮೇ ನಮಗೆ ಸರ್;Positive;
Even me I like the step;not-Kannada;
@Nandi Parthasarathi ಹಾದರಗಿತ್ತಿ;Mixed_feelings;
Sir solla video time kadime madi;Negative;
@shiva prakash avru legends. Kannada film industry Annu ee varege thegondu bandirodu avre. Avrinda ivthina actors ge easy agirodu. nIdara madyadalli kannada film industry track kalkondithu;Positive;
ಶಂಭು ಬಳಿಗಾರವರೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು ಹಾಸ್ಯ ಜಾನಪದ ಕಥೆ;Positive;
Rashmika burnol acchko;Mixed_feelings;
Movie was amazing!!🤩🤩;Positive;
ತೊಗರಿ  ತಿಪ್ಪ  ಸುಪರ್  ಕಾಮಿಡಿ;Positive;
Cinema super aagide;Positive;
Wish you happy life;not-Kannada;
L in in? Pkk I;unknown_state;
ಏನ್ ....... ಪಾ ಅವರ್ನ್;unknown_state;
Continue 8 sali kelide song bejare aglilla chindi song and music;Positive;
Hands up song ge;unknown_state;
Jai Rakshit Shetty;Positive;
Matthomme namma kannada suputhra rks;Positive;
ನಿಮ್ಮ ಚಿತ್ರಕ್ಕೆ ಶುಭವಾಗಲಿ n ನಿಮ್ಮ ಕನ್ನಡಿಗ.;Positive;
Syke SongnI am Full Fida....;not-Kannada;
ಇದರಲ್ಲಿ ಎನ್ ಚನ್ನಗಿದಿಯೊ ಗೊತ್ತಿಲ್ಲ ಆದರೇ ಮ್ಯೂಸಿಕ್ ಡ್ಯಾನ್ಸ್  ಚಿಂದಿ ಆಗಿದೆ.;Positive;
@Gajendra hv neen kano show off gandu... Flirt maadoke bartaane bewarsi... Nimanta chool bewarsi gallindaane hudugiru comment maadoke hogolla jasthi... Jeevndalli hudgirna nodillveno thukaali;Negative;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
Super song;Positive;
Super sir. real hero nivu. Nimminda Navu kuda kalthkolodede;Positive;
@Kushal MR nin kano bvc jaatrr;Negative;
Super sangs super movie;not-Kannada;
@Manju Sonu ಸೂಪರ್ ಕಮೆಂಟ್ ಕಣ್ಲಾ.... ನಿನ್ commentನ ಆ Italy Ravindra Lowda ಹತ್ ಸಲ ಓದಿದ್ರೂ ಅರ್ಥ ಮಾಡ್ಕೊಳ್ಳೋಕ್ ಆಗಲ್ಲ....;Negative;
ಯಾರು ನಿಜವಾದ ವಿಶ್ವಗುರು? ಇದು ಬರೀ ಘೋಷಣೆಗಳ ಸರ್ಕಾರ!;Positive;
Dislike yav mahanbhavru madiradu  guru.!! Looks like promising trailer;Negative;
Bossu Bgm dance;unknown_state;
Plz make in Hindi;not-Kannada;
Looks promising..;not-Kannada;
Superb bro inge continue madi;Positive;
One week salala .reach abeku ivag ela fast ide .nyc movie nodbeku etara agbhardu .node nodthare jana nodo tym ivag irbeku .etara agbhardu;Positive;
Super movie super song;not-Kannada;
Rj naagraj naan bigg fan...neeu prathvi aadru naan nim Rj fan ...aadi age kushi aitu noodi ...film exlnt ee year supr move ...heroin sa acting exlnt . . whole team ....suprb;Positive;
Sholay makalu China;Negative;
ಕೇಳಿ ಕರುನಾಡ ಬಾಂಧವರೆ;Positive;
@Nandi Parthasarathi ನಂದಿನಿ ಪಾರ್ಥ ಸಾರಥಿ ನಿನ್ ತುಲ್ಲು ಗೊಬ್ಬರ;Negative;
Corona virus iruvudarinda jana barta illa;Negative;
Super sir super super super super;not-Kannada;
super thogari tippa;Positive;
ನಕ್ಕನ್ ಹಾಕ್ರೋ ಸ್ಟೆಪ್ಪು.....tik tok internet access madtilla ..;Positive;
Stand Up for  Hands Up Song;Positive;
Super song;Positive;
Mass video music link send;Mixed_feelings;
Super song alva;Positive;
Umesh n j;not-Kannada;
30 ವರ್ಷಗಳ ಹಿಂದೆ ನಾವು 7 ನೇ ತರಗತಿಯಲ್ಲಿ ಇದ್ದಾಗ ಈ ಕಥೆಯ ಕ್ಯಾಸೆಟ್ ಮುಖಾಂತರ ಕೇಳಿ ಬಹಳ ಖುಷಿಪಡುತ್ತಿದ್ದೆವು. ಮತ್ತೊಮ್ಮೆ ಈ ಕಥೆಯನ್ನು ಕೇಳಲು ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಟ್ಟ ಅಶ್ವಿನಿ ಕ್ಯಾಸೆಟ್ ಕಂಪನಿಗೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು....;Positive;
Yappa song super guruve🤣;Positive;
Super Sir songs kicchaa big boss fan;Positive;
Bari ante kante Gale agoytu. Enadru solid proof torsri avar edare annoke.;Negative;
@Rock Siddu hehehe;unknown_state;
So sad. Sir....;Negative;
Boycott tik tok;not-Kannada;
LIKE  1M;not-Kannada;
tuogeri tippa super;Positive;
ಸುಪರ್ ತೊಗರಿ ತಿಪ್ಪ;Positive;
@Doddesh Rogannavar Loki;not-Kannada;
wowww superb song;not-Kannada;
Z I p;not-Kannada;
Super Kannada film industry changing;not-Kannada;
Not good girl;not-Kannada;
Super song asn bgm;not-Kannada;
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ;Positive;
Sir u r attitude & dance killed performance;not-Kannada;
Olle concept guru.. kannadadalli intha cinema barabeku;Positive;
జై డి బాస్ అభిమాని;not-Kannada;
Kannada ne barolla;Negative;
Still trending number one !!;Positive;
Best Wishes #ASN!;Positive;
Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna;Negative;
RIP to those 28k dislikers;Negative;
@Muniraj Munira nice  songs;not-Kannada;
OMG  SO GOOD SONG;Positive;
Super lines bro;Positive;
ಏ ನಂದಿನಿ ರಂಡಿಮಗಳ D Boss Bagge matadadre hudukondu Bandu Hoditini Jaag helu;Negative;
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳು ಲೈಕ್ ಮಾಡಿ;Positive;
ಚೀನೀಯರ ವಿಚಿತ್ರ ಆಚಾರ ಹಾಗೂ ಅದರ ಧುಷ್ಪರಿನಾಮ ತಿಳಿಸಿ. ಉದಾಹರಣೆ;Negative;
le gubad..... likes inda aden sigutto nimgella..... olle bhikshukara thara like maadi like maadi andkondu.....;Negative;
ಎನ್ ಹೇಳ್ದೇ ಗುರು ಸೂಪರ್ ಲವ್‌ ಯು..;Positive;
ಡಿ ಬಾಸ್ ದಶ೯ನ್ ಸರ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದಿ ಬೆಸ್ಟ್;Positive;
ಸಕ್ಕತಾಗಿದೆ ಮರಯ;Positive;
Jai criative kannadiga supper;Positive;
signature step is ultimate;not-Kannada;
ಅಯ್ಯೇೂ ಅಲ್ಲು ಮಾಡ್ತಾರೆ tic toc  ನ;Negative;
I am kiccha fans super song;Positive;
God bless u Sir...;Positive;
ಈ ಚಿತ್ರ ಪ್ರಜ್ವಲ್ ಅವ್ರ ಕ್ಯರಿಯರ್ ಚೇಂಜ್ ಮಾಡೋ ಹಾಗೆ ಕಾಣ್ತಿದೆ ರಾಕಿ ಭಾಯ್ ಯಶ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಶುಭಾಶಯಗಳು🤗🤗🤗;Positive;
Swag se swagat;not-Kannada;
Super Duper song;Positive;
ఉత్తర్ ప్రదేశ్ నుంచి అం;not-Kannada;
ಚೀನಾ ಕಮ್ಯುನಿಸ್ಟ್ ದೇಶ ಸರ್;Mixed_feelings;
Le gandu nan magane;Negative;
ಅವನೆ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ 300 ಕೋಟಿ ಅರಾಮಾಗಿ ಮಾಡುತ್ತೆ ಅನ್ನುವವರು ಲೈಕ್ ಮಾಡಿ;Positive;
ಕನ್ನಡದಲ್ಲೆ ಹೆಚ್ಚಾಗಿ ಮಾತನಾಡಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು...nAll the best sr;Positive;
Song Yarige Ista Agede Lika Me;Positive;
ನಾಲ್ಕು ದಿಕ್ಕುಗಳಿಗೆ ಬೇಕು ಇವನು ಬಂದೂಕು ಹಿಡಿದ ಮಾನವನು ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ;Positive;
His a bang bang;not-Kannada;
ಡಬ್ಬಿಂಗ್ ಪ್ರೋತ್ಸಾಹಿಸುವವರು ಲೈಕ್ ಮಾಡಿ;Positive;
Nijwaglu thumba chanagide;Positive;
Super good bro like this video song..🤩🤩🤩;not-Kannada;
ASN movie is too good..;Positive;
ಅವರ ಇಚ್ಛೆಯಂತೆ 300 ಕೋಟಿಗೂ ಮೀರಿ ಕಲೆಕ್ಷನ್ ಮಾಡಲಿ;Positive;
@AJITH S SHETTY yak uribeku.;Negative;
@Vinod Kumar.C ೧೦೦% ನಿಜ ಹೇಳಿದೆ ಗುರು;Mixed_feelings;
100 times e song keldhe super;Positive;
Sir chinag Takkar kodo innond deshaneilva    prapanchdalli;Positive;
ಸೂಪರ್ ಬ್ರೋ;Positive;
@Entertainment Gaming okkk;unknown_state;
Telugu comments copy madbutta 🤦‍;Negative;
Say say say sayta;Positive;
Super nInthaha suspense thriller movies beku namma kannada film industry ge nJAI Hindh JAI Karnataka;Positive;
ಅಚ್ಚ ಕನ್ನಡದ ಸಾಹಿತ್ಯ ಸೂಪರ್ nಜಯ್ ಕರ್ನಾಟಕ;Positive;
ನನ್ನ ಬಂದುಗಳೆ ಒಂದನ್ನು ನಾವು ತಿಳಿಲೇಬೇಕಾದ ಅವಶ್ಯಕತೆ ಇದೆ ಅದು ಏನಂದ್ರೆ ಮೊದಲಿಗೆ ಮನುಷ್ಯನಲ್ಲಿ ಅಥವಾ ಸಮುದಾಯದಲ್ಲಿ ಅಥವಾ ಒಂದು ದೇಶಕ್ಕೆ ನಾನು ದೊಡ್ಡವನು ಎಂಬ ಭಾವನೆ ಬಂದುಬಿಟ್ಟರೆ ಅದು ಕೇವಲ 200 ಅಥವಾ 300 ವರ್ಷಗಳಲ್ಲಿ ತನ್ನ ಸರ್ವನಾಶ ಮಾಡಿಕೊಂಡು ಬಿಡುತ್ತೆ. ಯಾಕೆ ಅಂದ್ರೆ ನೀವು ಇತಿಹಾಸ ನೋಡಿದಾಗ  ಮನುಷ್ಯನಲ್ಲಿ ಒಂದು ಆಸೆ ಬರೋದು ಸಹಜ ನಾನು ಎಲ್ಲರಿಗಿಂತ ದೊಡ್ಡವನಾಗಿ ಇರಬೇಕು ಬೇರೆಯವರಿಗಿಂತ ಎತ್ತರಕ್ಕೆ ಬೇಳಿಬೇಕು ಎಂದು ಇದೆ ಭಾವನೆ 1200 ವರ್ಷಗಳ ಹಿಂದೆ ಅರಬ್ ದೇಶದ ಮುಸ್ಲೀಂ ಧರ್ಮದ ಜನರಲ್ಲಿ ಬಂದು ಅಂದಿನ ಹಿಂದೂಗಳ ದೇಶವಾದಂತ ಭಾರತ;Positive;
Super anna nim matu...;Positive;
