,Unnamed: 0,Sentiment,Cross_Lingual_Text,Processed_text,Translated_text,FULL_kannada
411,411,1,ಸೂಪರ್ ಅಣ್ಣಾ ಚನ್ನಾಗಿ ಹೇಳಿದಿರ ದೇಶ ಅಭಿಮಾನ ಅಂದ್ರೆ ಇದು ಗುರು,ಸೂಪರ್ ಅಣ್ಣಾ ಚನ್ನಾಗಿ ಹೇಳಿದಿರ ದೇಶ ಅಭಿಮಾನ ಅಂದ್ರೆ ಇದು ಗುರು,ಸೂಪರ್ ಅಣ್ಣಾ ಚನ್ನಾಗಿ ಹೇಳಿದಿರ ದೇಶ ಅಭಿಮಾನ ಅಂದ್ರೆ ಇದು ಗುರು,ಸೂಪರ್ ಅಣ್ಣಾ ಚನ್ನಾಗಿ ಹೇಳಿದಿರ ದೇಶ ಅಭಿಮಾನ ಅಂದ್ರೆ ಇದು ಗುರು
412,412,0,ಸಕ್ಕತ್ತಾಗಿ ಉಗಿತಿರ ಅಣ್ಣ 🤮🤮🤮ದೊಡ್ಡ ಸ್ಟಾರ್ ಥರ ಅಡಿತವೇ.....  ಥು........,ಸಕ್ಕತ್ತಾಗಿ ಉಗಿತಿರ ಅಣ್ಣ ದೊಡ್ಡ ಸ್ಟಾರ್ ಥರ ಅಡಿತವೇ ಥು,ಸಕ್ಕತ್ತಾಗಿ ಉಗಿತಿರ ಅಣ್ಣ ದೊಡ್ಡ ಸ್ಟಾರ್ ಥರ ಅಡಿತವೇ ಥು,ಸಕ್ಕತ್ತಾಗಿ ಉಗಿತಿರ ಅಣ್ಣ ದೊಡ್ಡ ಸ್ಟಾರ್ ಥರ ಅಡಿತವೇ ಥು
413,413,1,niv helid nija star antha bere akotidru karma,niv helid nija star antha bere akotidru karma,ಹೇಲಿದ್ ನಿಜಾ ತಾರೆಯಂತೆ ಬರಿಯ ಆಕೋತಿದ್ರಿ ಕರ್ಮ ನೀನು,ಹೇಲಿದ್ ನಿಜಾ ತಾರೆಯಂತೆ ಬರಿಯ ಆಕೋತಿದ್ರಿ ಕರ್ಮ ನೀನು
416,416,2,Saryagi rubbidira brother,Saryagi rubbidira brother,ಸರ್ಯಾಗಿ ರಬ್ಬಿದೀರ ಅಣ್ಣ,ಸರ್ಯಾಗಿ ರಬ್ಬಿದೀರ ಅಣ್ಣ
419,419,1,Super Anna jai hind,Super Anna jai hind,ಸೂಪರ್ ಅಣ್ಣಾ ಜೈ ಹಿಂದ್,ಸೂಪರ್ ಅಣ್ಣಾ ಜೈ ಹಿಂದ್
420,420,1,Super Anna ede Tara video s Madi super,Super Anna ede Tara video s Madi super,ಸೂಪರ್ ಅಣ್ಣ ಎದೆ ತಾರಾ ವಿಡಿಯೋ ಸ್ ಮಾಡಿ ಸೂಪರ್,ಸೂಪರ್ ಅಣ್ಣ ಎದೆ ತಾರಾ ವಿಡಿಯೋ ಸ್ ಮಾಡಿ ಸೂಪರ್
421,421,0,Nija chapali odibeku evarigella,Nija chapali odibeku evarigella,ಒಡಿಬಿಎಗೆ ನಿಜವಾದ ರತ್ನಗಂಬಳಿ ಯಾರ ಜಿಲ್ಲೆಯಾಗಿದೆ?,ಒಡಿಬಿಎಗೆ ನಿಜವಾದ ರತ್ನಗಂಬಳಿ ಯಾರ ಜಿಲ್ಲೆಯಾಗಿದೆ?
422,422,1,ಸೂಪರ್ ಅಣ್ಣ ನೀನು,ಸೂಪರ್ ಅಣ್ಣ ನೀನು,ಸೂಪರ್ ಅಣ್ಣ ನೀನು,ಸೂಪರ್ ಅಣ್ಣ ನೀನು
423,423,0,Nonsense Kannada rost,Nonsense Kannada rost,ನಾನ್ ಸೆನ್ಸ್ ಕಾನ್ ಯಸುದಾ ರಸ್ತೆ ಸ್ಟ,ನಾನ್ ಸೆನ್ಸ್ ಕಾನ್ ಯಸುದಾ ರಸ್ತೆ ಸ್ಟ
424,424,1,Sariyagi helidira bro,Sariyagi helidira bro,ಸರಿಯಾಗಿ ಹೇಳಿದಿರ ಬ್ರೋ,ಸರಿಯಾಗಿ ಹೇಳಿದಿರ ಬ್ರೋ
425,425,0,totally nimmamman shaata,totally nimmamman shaata,ಸಂಪೂರ್ಣವಾಗಿ ನಿಮ್ಮಮ್ಮನ ಶತ,ಸಂಪೂರ್ಣವಾಗಿ ನಿಮ್ಮಮ್ಮನ ಶತ
426,426,2,Nkn sakkat guru....,Nkn sakkat guru,ಇದು ಶಿಕ್ಷಕರಂತೆ,ಇದು ಶಿಕ್ಷಕರಂತೆ
427,427,0,Bindhu gowda ge sariagi madidera,Bindhu gowda ge sariagi madidera,ಬಿಂಧು ಗೌಡ ಗೆ ಸರಿಯಾಗಿ ಮಾಡಿದೆರ,ಬಿಂಧು ಗೌಡ ಗೆ ಸರಿಯಾಗಿ ಮಾಡಿದೆರ
428,428,1,Nin dialog super guru chindi guru,Nin dialog super guru chindi guru,ನಿನು ಡೈಲಾಗ್ ಸೂಪರ್ ಗುರು ಚಿಂದಿ ಗುರು,ನಿನು ಡೈಲಾಗ್ ಸೂಪರ್ ಗುರು ಚಿಂದಿ ಗುರು
433,433,1,Nee super guru......,Nee super guru,ನಿಮ್ಮ ಸೂಪರ್ ಗುರು,ನಿಮ್ಮ ಸೂಪರ್ ಗುರು
434,434,1,Super ri bro,Super ri bro,ಸೂಪರ್ ರಿ ಬ್ರದರ್,ಸೂಪರ್ ರಿ ಬ್ರದರ್
435,435,1,Super bro ur video,Super bro ur video,ಸೂಪರ್ ಬ್ರೋ ನಿಮ್ಮ ವಿಡಿಯೋ,ಸೂಪರ್ ಬ್ರೋ ನಿಮ್ಮ ವಿಡಿಯೋ
436,436,0,I hate tiktok mobile thagondagindanu install made illa i hate this,I hate tiktok mobile thagondagindanu install made illa i hate this,ಈ ಹೇಟ್ ಟ್ರಿಕ್ಟಾಕ್ ಮೊಬೈಲ್ ತಗೊಂಡಾಗಿಂದನು ಇನ್ಸ್ಟಾಲ್ ಮಾಡಿ ಇಲ್ಲ ಈ ಹೇಟ್ ದಿಸ್,ಈ ಹೇಟ್ ಟ್ರಿಕ್ಟಾಕ್ ಮೊಬೈಲ್ ತಗೊಂಡಾಗಿಂದನು ಇನ್ಸ್ಟಾಲ್ ಮಾಡಿ ಇಲ್ಲ ಈ ಹೇಟ್ ದಿಸ್
437,437,0,Nkn en mathgalu guru nindhu ABBA tiktok li thirke shoki madorige Chapli thagond barsidhange super guru,Nkn en mathgalu guru nindhu ABBA tiktok li thirke shoki madorige Chapli thagond barsidhange super guru,ನ್ಕೆನ್ ಏನ್ ಮಥಿಗಳು ಗುರು ನಿಂಧು ಅಬ್ಬ ತಿಕ್ಟಾಕ್ ಲಿ ತೀರಿಕೆ ಶೋಕಿ ಮಾಡೋರಿಗೆ ಚಪ್ಲಿ ತಗೊಂಡ್ ಬರ್ಸಿದ್ಹ್ಯಾಂಗೆ ಸೂಪರ್ ಗುರು,ನ್ಕೆನ್ ಏನ್ ಮಥಿಗಳು ಗುರು ನಿಂಧು ಅಬ್ಬ ತಿಕ್ಟಾಕ್ ಲಿ ತೀರಿಕೆ ಶೋಕಿ ಮಾಡೋರಿಗೆ ಚಪ್ಲಿ ತಗೊಂಡ್ ಬರ್ಸಿದ್ಹ್ಯಾಂಗೆ ಸೂಪರ್ ಗುರು
438,438,1,Anna nin padha Xerox kodanna,Anna nin padha Xerox kodanna,ಅಣ್ಣಾ ನಿನ್ ಅವರು ಜೆರಾಕ್ಸ್ ಕೊಡಣ್ಣಾ,ಅಣ್ಣಾ ನಿನ್ ಅವರು ಜೆರಾಕ್ಸ್ ಕೊಡಣ್ಣಾ
439,439,0,SUPER GURU..SARIYAGI BAYDIDYA ESHTU UGUDHRU ENNA BUDDI BARALLA KELAVU MUNDEGALIGE..,SUPER GURUSARIYAGI BAYDIDYA ESHTU UGUDHRU ENNA BUDDI BARALLA KELAVU MUNDEGALIGE,ಸೂಪರ್ ಗುರುಸಾರಿಯಾಗಿ ಬಯ್ದಿದ್ಯ ಎಷ್ಟು ಉಗುಧೃ ಎನ್ನ ಬುದ್ದಿ ಬರಲ್ಲ ಕೆಲವು ಮುಂಡೆಗಳಿಗೆ,ಸೂಪರ್ ಗುರುಸಾರಿಯಾಗಿ ಬಯ್ದಿದ್ಯ ಎಷ್ಟು ಉಗುಧೃ ಎನ್ನ ಬುದ್ದಿ ಬರಲ್ಲ ಕೆಲವು ಮುಂಡೆಗಳಿಗೆ
441,441,1,ಸೂಪರ್ ಬಾಸ್ ನೀನು ಹೇಳ್ಳೇದ್ ಕ್ರೀಟ್ ಮಾಡಿದು ಸೂಪರ್,ಸೂಪರ್ ಬಾಸ್ ನೀನು ಹೇಳ್ಳೇದ್ ಕ್ರೀಟ್ ಮಾಡಿದು ಸೂಪರ್,ಸೂಪರ್ ಬಾಸ್ ನೀನು ಹೇಳ್ಳೇದ್ ಕ್ರೀಟ್ ಮಾಡಿದು ಸೂಪರ್,ಸೂಪರ್ ಬಾಸ್ ನೀನು ಹೇಳ್ಳೇದ್ ಕ್ರೀಟ್ ಮಾಡಿದು ಸೂಪರ್
443,443,1,Super  Anna,Super Anna,ಸೂಪರ್ ಅಣ್ಣಾ,ಸೂಪರ್ ಅಣ್ಣಾ
444,444,0,Ah allu raghu ge forward madbeku e video bari nigradavne,Ah allu raghu ge forward madbeku e video bari nigradavne,ಅಹ್ ಅಲ್ಲೂ ರಘು ಗೆ ಫಾರ್ವರ್ಡ್ ಮಾಡಬೇಕು ಈ ವಿಡಿಯೋ ಬರಿ ನಿಗ್ರದವ್ನೆ,ಅಹ್ ಅಲ್ಲೂ ರಘು ಗೆ ಫಾರ್ವರ್ಡ್ ಮಾಡಬೇಕು ಈ ವಿಡಿಯೋ ಬರಿ ನಿಗ್ರದವ್ನೆ
445,445,1,Supar guru chindi,Supar guru chindi,ಸೂಪರ್ ಗುರು ಚಿಂದಿ,ಸೂಪರ್ ಗುರು ಚಿಂದಿ
446,446,1,ಗುರು ಎಲ್ಲಿದ್ದೆ ಗುರು ಇಷ್ಟು ದಿನ🤣,ಗುರು ಎಲ್ಲಿದ್ದೆ ಗುರು ಇಷ್ಟು ದಿನ,ಗುರು ಎಲ್ಲಿದ್ದೆ ಗುರು ಇಷ್ಟು ದಿನ,ಗುರು ಎಲ್ಲಿದ್ದೆ ಗುರು ಇಷ್ಟು ದಿನ
447,447,0,Bro super aagi Ode kottidiya manga nann makkalige...,Bro super aagi Ode kottidiya manga nann makkalige,ಬ್ರೋ ಸೂಪರ್ ಆಗಿ ಓಡ್ ಕೊಟ್ಟಿದಿಯ ಮಂಗಾ ನನ್ನ ಮಕ್ಕಳಿಗೆ,ಬ್ರೋ ಸೂಪರ್ ಆಗಿ ಓಡ್ ಕೊಟ್ಟಿದಿಯ ಮಂಗಾ ನನ್ನ ಮಕ್ಕಳಿಗೆ
448,448,1,video super bossu,video super bossu,ಸೂಪರ್ ಹಂಪ್ ವಿಡಿಯೋ,ಸೂಪರ್ ಹಂಪ್ ವಿಡಿಯೋ
449,449,1,Devru guru neenu nSuper kannada da carry minati,Devru guru neenu nSuper kannada da carry minati,ದೇವ್ರು ಗುರು ನೀನು ನ್ಯೂಸೂಪೇರ್ ಕನ್ನಡ ಡಾ ಕ್ಯಾರಿ ಮಿನಾಟಿ,ದೇವ್ರು ಗುರು ನೀನು ನ್ಯೂಸೂಪೇರ್ ಕನ್ನಡ ಡಾ ಕ್ಯಾರಿ ಮಿನಾಟಿ
450,450,1,Super guru munduvarisi,Super guru munduvarisi,ಸೂಪರ್ ಗುರು ಮುಂದುವರಿಸಿ,ಸೂಪರ್ ಗುರು ಮುಂದುವರಿಸಿ
451,451,1,Guru sakathage helde....nin superb. ...superb ashte,Guru sakathage heldenin superb superb ashte,ಗುರು ಸಕಥಗೆ ಹೇಳ್ದೆನಿಂ ಸುಪರ್ಬ್ ಸುಪರ್ಬ್ ಅಷ್ಟೇ,ಗುರು ಸಕಥಗೆ ಹೇಳ್ದೆನಿಂ ಸುಪರ್ಬ್ ಸುಪರ್ಬ್ ಅಷ್ಟೇ
454,454,0,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ
455,455,0,Edralli nivu enu overagi mathadilla bro,Edralli nivu enu overagi mathadilla bro,ಇದ್ರಲ್ಲಿ ನೀವು ಏನು ಒವೆರಗಿ ಮಠಾದಿಲ್ಲ ಬ್ರೋ,ಇದ್ರಲ್ಲಿ ನೀವು ಏನು ಒವೆರಗಿ ಮಠಾದಿಲ್ಲ ಬ್ರೋ
456,456,1,Anna nevu super,Anna nevu super,ಅಣ್ಣ ನೀವು ಸೂಪರ್,ಅಣ್ಣ ನೀವು ಸೂಪರ್
457,457,1,Super bro nim matalli satya ide,Super bro nim matalli satya ide,ಸೂಪರ್ ಬ್ರೋ ನಿಮ್ ಮಾತಲ್ಲಿ ಸತ್ಯ ಇದೆ,ಸೂಪರ್ ಬ್ರೋ ನಿಮ್ ಮಾತಲ್ಲಿ ಸತ್ಯ ಇದೆ
458,458,1,Yen sakkathagi helidri guru,Yen sakkathagi helidri guru,ಏನ್ ಸಕ್ಕತಾಗಿ ಹೇಳಿದ್ರಿ ಗುರು,ಏನ್ ಸಕ್ಕತಾಗಿ ಹೇಳಿದ್ರಿ ಗುರು
459,459,1,Super agi mathadthiya bro,Super agi mathadthiya bro,ಸೂಪರ್ ಆಗಿ ಮಾತಾಡ್ತಿಯ ಬ್ರೋ,ಸೂಪರ್ ಆಗಿ ಮಾತಾಡ್ತಿಯ ಬ್ರೋ
460,460,1,Matte yake hakidira,Matte yake hakidira,ಅವನ ಮ್ಯಾಟ್ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ,ಅವನ ಮ್ಯಾಟ್ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ
461,461,1,Anna suprrrrrr sir,Anna suprrrrrr sir,ಅಣ್ಣಾ ಸುಪ್ರ್ರ್ರ್ರ್ ಸರ್,ಅಣ್ಣಾ ಸುಪ್ರ್ರ್ರ್ರ್ ಸರ್
462,462,1,hudugru hidgiraagodu talent,hudugru hidgiraagodu talent,ಹುಡುಗ್ರು ಹಿಡಗಿರಾಗೋದು ಟ್ಯಾಲೆಂಟ್,ಹುಡುಗ್ರು ಹಿಡಗಿರಾಗೋದು ಟ್ಯಾಲೆಂಟ್
464,464,1,Yen  comedy guru  gulaab jamunu,Yen comedy guru gulaab jamunu,ಏನ್ ಕಾಮಿಡಿ ಗುರು ಗುಲಾಬ್ ಜಾಮೂನು,ಏನ್ ಕಾಮಿಡಿ ಗುರು ಗುಲಾಬ್ ಜಾಮೂನು
465,465,1,Lovely guru super,Lovely guru super,ಸುಂದರ ಗುರು ಸೂಪರ್,ಸುಂದರ ಗುರು ಸೂಪರ್
466,466,0,Awsum guru enu swalpa hugiri,Awsum guru enu swalpa hugiri,ಆಸುಂ ಗುರು ಏನು ಸ್ವಲ್ಪ ಹುಗಿರಿ,ಆಸುಂ ಗುರು ಏನು ಸ್ವಲ್ಪ ಹುಗಿರಿ
468,468,1,Super agi helidi anna,Super agi helidi anna,ಸೂಪರ್ ಆಗಿ ಹೇಳಿಡಿ ಅಣ್ಣ,ಸೂಪರ್ ಆಗಿ ಹೇಳಿಡಿ ಅಣ್ಣ
469,469,1,ಸರಿಯಾಗಿ ಹೇಳಿದಿರಿ ಬ್ರದರ್,ಸರಿಯಾಗಿ ಹೇಳಿದಿರಿ ಬ್ರದರ್,ಸರಿಯಾಗಿ ಹೇಳಿದಿರಿ ಬ್ರದರ್,ಸರಿಯಾಗಿ ಹೇಳಿದಿರಿ ಬ್ರದರ್
470,470,0,Enu baitira guruve,Enu baitira guruve,ಏನು ಬೈತೀರಾ ಗುರುವೇ,ಏನು ಬೈತೀರಾ ಗುರುವೇ
471,471,1,Super anna super,Super anna super,ಸೂಪರ್ ಅಣ್ಣಾ ಸೂಪರ್,ಸೂಪರ್ ಅಣ್ಣಾ ಸೂಪರ್
472,472,2,Ban maadirodakke tumba thanks matte ee tara aap barde irali,Ban maadirodakke tumba thanks matte ee tara aap barde irali,ಬಾನ್ ಮಾಡಿರೋದಕ್ಕೆ ತುಂಬಾ ಥ್ಯಾಂಕ್ಸ್ ಮತ್ತೆ ಈ ತರ ಆಪ್ ಬರ್ದೇ ಇರಲಿ,ಬಾನ್ ಮಾಡಿರೋದಕ್ಕೆ ತುಂಬಾ ಥ್ಯಾಂಕ್ಸ್ ಮತ್ತೆ ಈ ತರ ಆಪ್ ಬರ್ದೇ ಇರಲಿ
473,473,1,Status nalli feelings haakondu,Status nalli feelings haakondu,ಸ್ಟೇಟಸ್ ನಲ್ಲಿ ಫೀಲಿಂಗ್ಸ್ ಹಾಕೊಂಡು,ಸ್ಟೇಟಸ್ ನಲ್ಲಿ ಫೀಲಿಂಗ್ಸ್ ಹಾಕೊಂಡು
474,474,1,Super  creative   guru,Super creative guru,ಸೂಪರ್ ಕ್ರಿಯೇಟಿವ್ ಗುರು,ಸೂಪರ್ ಕ್ರಿಯೇಟಿವ್ ಗುರು
475,475,0,Innu swalpa Sanskrit nalli baybeku guru,Innu swalpa Sanskrit nalli baybeku guru,ಇನ್ನು ಸ್ವಲ್ಪ ಸಂಸ್ಕ್ರಿಟ್ ನಲ್ಲಿ ಬೆಬೇಕು ಗುರು,ಇನ್ನು ಸ್ವಲ್ಪ ಸಂಸ್ಕ್ರಿಟ್ ನಲ್ಲಿ ಬೆಬೇಕು ಗುರು
476,476,1,Super guru,Super guru,ಸೂಪರ್ ಟೀಚರ್,ಸೂಪರ್ ಟೀಚರ್
478,478,1,Actually point point nu bidsi supper aagi helidiya supppppppppeeeerrrrrbbb,Actually point point nu bidsi supper aagi helidiya supppppppppeeeerrrrrbbb,ಆಕ್ಟ್ನಳ್ಳಿಲಿ ಪಾಯಿಂಟ್ ಪಾಯಿಂಟ್ ನು ಬಿಡ್ಸಿ ಸಪ್ಪರ್ ಆಗಿ ಹೇಳಿದೀಯಾ ಸುಪ್ಪ್ಪ್ಪ್ಪ್ಪ್ಪಪ್ಪೆಈರ್ರ್ರ್ರ್ರ್ಬ್ಬ್ಬ್,ಆಕ್ಟ್ನಳ್ಳಿಲಿ ಪಾಯಿಂಟ್ ಪಾಯಿಂಟ್ ನು ಬಿಡ್ಸಿ ಸಪ್ಪರ್ ಆಗಿ ಹೇಳಿದೀಯಾ ಸುಪ್ಪ್ಪ್ಪ್ಪ್ಪ್ಪಪ್ಪೆಈರ್ರ್ರ್ರ್ರ್ಬ್ಬ್ಬ್
479,479,1,Nkn chindi rost guru....,Nkn chindi rost guru,ಅಂಕಮ್ ಚಿಂದಿ ರೋಸ್ಟ್ ಗುರು,ಅಂಕಮ್ ಚಿಂದಿ ರೋಸ್ಟ್ ಗುರು
480,480,0,ಬಿಟ್ಟ  ಸ್ಥಳ ತುಂಬಿ __ ಶಟ,ಬಿಟ್ಟ ಸ್ಥಳ ತುಂಬಿ ಶಟ,ಬಿಟ್ಟ ಸ್ಥಳ ತುಂಬಿ ಶಟ,ಬಿಟ್ಟ ಸ್ಥಳ ತುಂಬಿ ಶಟ
481,481,1,havlli guru nimanthavru bekku,havlli guru nimanthavru bekku,ಹಾವ್ಲ್ಲಿ ಗುರು ನಿಮಂಥವ್ರು ಬೆಕ್ಕು,ಹಾವ್ಲ್ಲಿ ಗುರು ನಿಮಂಥವ್ರು ಬೆಕ್ಕು
484,484,0,Sariya kuyde magaaa,Sariya kuyde magaaa,ನಗರದ ಕಾನೂನು,ನಗರದ ಕಾನೂನು
485,485,1,Correct alva guru nin mathu 100 sathya,Correct alva guru nin mathu 100 sathya,ಕರೆಕ್ಟ್ ಅಲ್ವ ಗುರು ನಿನ್ ಮಾತು ೧೦೦ ಸತ್ಯ,ಕರೆಕ್ಟ್ ಅಲ್ವ ಗುರು ನಿನ್ ಮಾತು ೧೦೦ ಸತ್ಯ
486,486,0,Ondondu maathu shalege chappali suthkondu hodeda hagide bro nnNkn chaina apps ban maadsi avar arthikathage hodetha bilali nnTq so much,Ondondu maathu shalege chappali suthkondu hodeda hagide bro nnNkn chaina apps ban maadsi avar arthikathage hodetha bilali nnTq so much,ಒಂದೊಂದು ಮಾತು ಶಾಲೆಗೆ ಚಪ್ಪಲಿ ಸುತ್ಕೊಂಡು ಹೊಡೆದ ಹಾಗಿದೆ ಬ್ರೋ ನ್ನ್ನಕಂ ಚೈನಾ ಆಪ್ಸ್ ಬಾನ್ ಮಾಡ್ಸಿ ಅವರ್ ಆರ್ಥಿಕಥಗೆ ಹೊಡೆತ ಬಿಳಲಿ ನಂಟಿಕ್ ಸೋ ಮಚ್,ಒಂದೊಂದು ಮಾತು ಶಾಲೆಗೆ ಚಪ್ಪಲಿ ಸುತ್ಕೊಂಡು ಹೊಡೆದ ಹಾಗಿದೆ ಬ್ರೋ ನ್ನ್ನಕಂ ಚೈನಾ ಆಪ್ಸ್ ಬಾನ್ ಮಾಡ್ಸಿ ಅವರ್ ಆರ್ಥಿಕಥಗೆ ಹೊಡೆತ ಬಿಳಲಿ ನಂಟಿಕ್ ಸೋ ಮಚ್
488,488,2,ಟಿಕ್ ಟಾಕ್ ಸೆಡೆಗಳು,ಟಿಕ್ ಟಾಕ್ ಸೆಡೆಗಳು,ಟಿಕ್ ಟಾಕ್ ಸೆಡೆಗಳು,ಟಿಕ್ ಟಾಕ್ ಸೆಡೆಗಳು
489,489,1,Super bro naanu Tik Tok maadtidde aadre adenu nam desha kintluu hechenalla namge nam desh beku adke yella chinaa apps na in install maadidini,Super bro naanu Tik Tok maadtidde aadre adenu nam desha kintluu hechenalla namge nam desh beku adke yella chinaa apps na in install maadidini,ಸೂಪರ್ ಬ್ರೋ ನಾನು ತಿಕ್ ಟಾಕ್ ಮಾಡ್ತಿದ್ದೆ ಆದ್ರೆ ಅದೇನು ನಮ ದೇಶ ಕಿಂತಲೂ ಹೆಚಿನಲ್ಲ ನಮಗೆ ನಮ ದೇಶ್ ಬೇಕು ಅದ್ಕೆ ಎಲ್ಲ ಚೀನಾ ಆಪ್ಸ್ ನ ಇನ್ ಇನ್ಸ್ಟಾಲ್ ಮಾಡಿದೀನಿ,ಸೂಪರ್ ಬ್ರೋ ನಾನು ತಿಕ್ ಟಾಕ್ ಮಾಡ್ತಿದ್ದೆ ಆದ್ರೆ ಅದೇನು ನಮ ದೇಶ ಕಿಂತಲೂ ಹೆಚಿನಲ್ಲ ನಮಗೆ ನಮ ದೇಶ್ ಬೇಕು ಅದ್ಕೆ ಎಲ್ಲ ಚೀನಾ ಆಪ್ಸ್ ನ ಇನ್ ಇನ್ಸ್ಟಾಲ್ ಮಾಡಿದೀನಿ
491,491,0,Yapaa devre spr agi rost madidira sprrr,Yapaa devre spr agi rost madidira sprrr,ಯಾಪಾ ದೇವ್ರೇ ಸ್ಪರ್ ಆಗಿ ರೋಸ್ಟ್ ಮಾಡಿದಿರಾ ಸ್ಫರ್ರ್ರ್,ಯಾಪಾ ದೇವ್ರೇ ಸ್ಪರ್ ಆಗಿ ರೋಸ್ಟ್ ಮಾಡಿದಿರಾ ಸ್ಫರ್ರ್ರ್
492,492,0,Sariyagi degidiya guru  all the best desha abhimana elade ero sule makkali ge sariyagi deggg bekuuu,Sariyagi degidiya guru all the best desha abhimana elade ero sule makkali ge sariyagi deggg bekuuu,ಸರಿಯಾಗಿ ಡೆಗಿಡಿಯ ಗುರು ಆಲ್ ದಿ ಬೆಸ್ಟ್ ದೇಶ ಅಭಿಮಾನ ಏಳದೆ ಏರೋ ಸೂಳೆ ಮಕ್ಕಳಿ ಗೆ ಸರಿಯಾಗಿ ದೇಗ್ಗ್ಗ್ ಬೇಕೂಉ,ಸರಿಯಾಗಿ ಡೆಗಿಡಿಯ ಗುರು ಆಲ್ ದಿ ಬೆಸ್ಟ್ ದೇಶ ಅಭಿಮಾನ ಏಳದೆ ಏರೋ ಸೂಳೆ ಮಕ್ಕಳಿ ಗೆ ಸರಿಯಾಗಿ ದೇಗ್ಗ್ಗ್ ಬೇಕೂಉ
495,495,1,Chinddi  guru,Chinddi guru,ಚಿಂದಿ ಗುರು,ಚಿಂದಿ ಗುರು
496,496,1,Chindi chithrannaaa guru,Chindi chithrannaaa guru,ಚಿಂದಿ ಚಿತ್ರಾನ್ನಯ ಗುರು,ಚಿಂದಿ ಚಿತ್ರಾನ್ನಯ ಗುರು
497,497,0,ಸೂಪರ್ ಬ್ರದರ್ ಚನ್ನಾಗಿ ಯುಗ್ಲಿದಿರ ಬೇವರ್ಸಿ ನನ್ ಮಕ್ಳನ್ನ,ಸೂಪರ್ ಬ್ರದರ್ ಚನ್ನಾಗಿ ಯುಗ್ಲಿದಿರ ಬೇವರ್ಸಿ ನನ್ ಮಕ್ಳನ್ನ,ಸೂಪರ್ ಬ್ರದರ್ ಚನ್ನಾಗಿ ಯುಗ್ಲಿದಿರ ಬೇವರ್ಸಿ ನನ್ ಮಕ್ಳನ್ನ,ಸೂಪರ್ ಬ್ರದರ್ ಚನ್ನಾಗಿ ಯುಗ್ಲಿದಿರ ಬೇವರ್ಸಿ ನನ್ ಮಕ್ಳನ್ನ
499,499,1,Love you anna,Love you anna,ಲವ್ ಯು ಅಣ್ಣಾ,ಲವ್ ಯು ಅಣ್ಣಾ
500,500,1,ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್,ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್,ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್,ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್
501,501,1,Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy 🥰,Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy ,ತಿಕ್ ಟಾಕ್ ಬಾನ್ ಆಗಿರೋದಿಕೆ ನಂಗೆ ತುಂಬಾ ತುಂಬಾ ಖುಷಿ ಇದೆ ಹ್ಯಾಪಿ,ತಿಕ್ ಟಾಕ್ ಬಾನ್ ಆಗಿರೋದಿಕೆ ನಂಗೆ ತುಂಬಾ ತುಂಬಾ ಖುಷಿ ಇದೆ ಹ್ಯಾಪಿ
502,502,1,ಸೂಪರ್  ಬ್ರದರ್,ಸೂಪರ್ ಬ್ರದರ್,ಸೂಪರ್ ಬ್ರದರ್,ಸೂಪರ್ ಬ್ರದರ್
503,503,0,Why you only tik tok anno akka sumne erma ni,Why you only tik tok anno akka sumne erma ni,ಯಾಕೆ ನೀನು ಮಾತ್ರ ಟಿಕ್ ಟಾಕ್ ನಾವು ಸುಮ್ನೆ ಎರ್ಮಾ ಇದ್ದಂತೆ,ಯಾಕೆ ನೀನು ಮಾತ್ರ ಟಿಕ್ ಟಾಕ್ ನಾವು ಸುಮ್ನೆ ಎರ್ಮಾ ಇದ್ದಂತೆ
504,504,0,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು
